pmid	date	type	jabbrv	n.authors	n.words
83117	1978-11-01	Journal Article	Anat Rec	4	160
90174	1979-08-01	Journal Article	J Virol	2	227
185415	1976-10-01	Journal Article	J Virol	3	42
215965	1978-12-28	Journal Article	Pflugers Arch	3	206
257400	1979-09-01	Other	Nurs Res	1	242
291065	1979-08-01	Journal Article	Proc Natl Acad Sci USA	3	153
334780	1977-10-01	Journal Article	J Cell Biol	5	127
423211	1979-03-01	Journal Article	J Med Chem	7	143
512487	1979-09-01	Case Reports	J Laryngol Otol	3	55
536922	1979-12-01	Journal Article	J Physiol (Lond)	2	240
564051	1977-01-01	Journal Article	Pflugers Arch	4	186
714974	1978-08-01	Journal Article	Pharmacol Biochem Behav	5	168
800985	1975-04-01	Journal Article	Eur J Biochem	3	148
831521	1977-01-01	Other	Am J Orthopsychiatry	1	76
870791	1977-05-01	Case Reports	Medicine (Baltimore)	7	230
956963	1976-09-01	Journal Article	J Pediatr	5	146
960171	1976-09-01	Journal Article	Stroke	3	172
1067728	1975-01-01	Clinical Trial	Acta Odontol Scand	4	252
1163519	1975-09-01	Journal Article	Am J Dig Dis	1	185
1198229	1975-11-08	Journal Article	S Afr Med J	1	51
1257770	1976-04-23	Journal Article	Science	3	108
1291156	1992-01-01	Journal Article	Dev Genet	3	261
1317244	1992-04-01	Journal Article	Can J Vet Res	10	166
1323311	1992-08-01	Other	Neuron	4	140
1351728	1992-02-01	Journal Article	Arzneimittelforschung	2	168
1354161	1992-03-17	Journal Article	Eur J Pharmacol	3	246
1409550	1992-06-01	Journal Article	Protein Eng	3	244
1424298	1992-10-01	Other	Clin Exp Pharmacol Physiol	3	240
1530624	1992-09-16	Journal Article	Biochem Biophys Res Commun	7	122
1568959	1992-03-01	Journal Article	J Appl Physiol	3	207
1625789	1992-02-03	Journal Article	Neurosci Lett	6	96
1644198	1992-08-10	Journal Article	FEBS Lett	2	106
1659170	1991-11-15	Journal Article	Am J Cardiol	8	247
1677938	1991-02-01	Journal Article	J Biochem	2	158
1679372	1991-07-01	Journal Article	Zhonghua Yi Xue Za Zhi (Taipei)	6	315
1703642	1990-08-01	Case Reports	Neurol Med Chir (Tokyo)	3	109
1704235	1990-07-01	Journal Article	Z Naturforsch, C, J Biosci	3	133
1777185	1991-12-01	Other	Am J Hypertens	2	76
1816312	1991-12-01	Journal Article	J Indian Med Assoc	5	194
1881414	1991-09-01	Journal Article	Mutat Res	4	230
1893634	1991-09-01	Journal Article	Clin Exp Immunol	4	176
1919713	1991-11-01	Other	J Neurosurg	1	73
1933162	1991-10-01	Clinical Trial	Br J Urol	4	91
1968904	1990-03-15	Clinical Trial	Hosp Pract (Off Ed)	1	60
1986968	1991-01-01	Journal Article	Fertil Steril	5	145
1999545	1991-02-01	Case Reports	J Am Acad Dermatol	4	97
2018208	1991-01-01	Clinical Trial	Allergy	10	186
2022394	1991-01-01	Journal Article	Indian J Med Res	6	90
2044288	1991-06-01	Journal Article	Clin Orthop Relat Res	2	126
2070074	1991-07-15	Journal Article	Blood	5	140
2153452	1990-02-15	Journal Article	Cancer Res	9	366
2161505	1990-03-01	Journal Article	Neurobiol Aging	3	132
2171541	1990-10-01	Journal Article	Arthritis Rheum	4	198
2185433	1990-01-01	Journal Article	Neuroradiology	3	82
2206194	1990-08-01	Other	Anal Quant Cytol Histol	4	288
2238045	1990-09-01	Journal Article	Trends Biochem Sci	1	66
2263454	1990-12-11	Journal Article	Nucleic Acids Res	2	106
2339520	1990-01-01	Journal Article	Vox Sang	3	97
2447877	1987-12-16	Journal Article	Biochem Biophys Res Commun	3	146
2472115	1989-04-01	Journal Article	Antiviral Res	3	148
2486938	1989-01-01	Journal Article	Lens Eye Toxic Res	7	247
2487818	1989-01-01	Journal Article	Gastroenterol Nurs	1	101
2519181	1989-01-01	Case Reports	Acta Univ Carol Med (Praha)	3	150
2520205	1989-11-01	Other	Math Biosci	4	100
2752416	1989-07-01	Journal Article	Cell Tissue Res	2	222
2755419	1989-05-01	Journal Article	Neurotoxicol Teratol	4	260
2815592	1989-11-01	Journal Article	Virology	6	182
2864201	1985-01-01	Other	Comp Biochem Physiol A Comp Physiol	3	176
2928999	1989-02-01	Journal Article	Thorax	3	205
2994763	1985-01-01	Journal Article	Biol Neonate	3	186
3015898	1986-06-01	Journal Article	J Bioenerg Biomembr	1	197
3046925	1988-10-01	Journal Article	Endocrinology	3	168
3094523	1986-09-30	Journal Article	Biochem Biophys Res Commun	4	68
3131451	1987-09-01	Journal Article	Int J Biol Markers	6	98
3134850	1988-05-01	Journal Article	Antimicrob Agents Chemother	5	44
3144276	1988-12-15	Journal Article	Biochem Biophys Res Commun	3	132
3293913	1988-01-01	Journal Article	Crit Rev Biomed Eng	1	218
3322015	1987-12-01	Journal Article	Am J Obstet Gynecol	3	220
3362556	1988-02-01	Journal Article	Pain	5	140
3470921	1986-01-01	Other	Scand J Gastroenterol Suppl	4	141
3489911	1986-08-29	Journal Article	Neurosci Lett	5	229
3492791	1986-01-01	Other	Thymus	5	208
3493803	1987-02-01	Journal Article	Br J Ophthalmol	3	81
3510297	1986-01-01	Other	J Med Chem	5	84
3707626	1986-04-01	Journal Article	Arthritis Rheum	6	148
3821160	1987-01-01	Journal Article	J Neurosci Methods	2	126
3881508	1985-01-01	Other	J Hand Surg Am	2	108
3889076	1985-04-01	Clinical Trial	J Clin Pharmacol	4	252
3924192	1985-06-01	Journal Article	Br Med J (Clin Res Ed)	3	135
3942224	1986-01-01	Journal Article	Am J Physiol	1	231
3954274	1986-04-01	Journal Article	Am Surg	3	137
3958889	1986-03-01	Journal Article	J Pediatr Surg	4	101
3977228	1985-01-01	Journal Article	Ann Ophthalmol	2	152
4011678	1985-06-01	Journal Article	Phys Med Biol	4	82
4014135	1985-03-01	Journal Article	Am J Epidemiol	1	133
4062008	1985-10-01	Journal Article	Am J Vet Res	3	139
4091542	1985-01-01	Journal Article	Antonie Van Leeuwenhoek	3	153
4094824	1985-11-01	Journal Article	Pediatr Pulmonol	3	92
4970222	1968-06-01	Journal Article	J Bacteriol	3	197
5459942	1970-06-01	Journal Article	J Cell Biol	2	170
5764249	1969-02-22	Journal Article	Br Med J	2	185
6091819	1984-11-01	Journal Article	Blood	5	151
6145740	1984-05-01	Other	J Hered	3	193
6174459	1982-01-15	Journal Article	Int J Cancer	7	224
6257215	1980-01-01	Journal Article	Arch Otorhinolaryngol	1	100
6294181	1983-02-01	Case Reports	J Immunol	4	218
6296452	1983-01-01	Journal Article	J Virol	3	82
6323807	1984-04-01	Case Reports	J Natl Cancer Inst	5	163
6336931	1983-01-01	Journal Article	Arch Dermatol	3	46
6364483	1984-01-01	Journal Article	Transplantation	2	200
6376499	1984-07-10	Journal Article	J Biol Chem	3	204
6423555	1983-01-01	Case Reports	Int Orthop	3	79
6423640	1984-04-10	Journal Article	J Biol Chem	3	192
6501431	1984-12-01	Journal Article	J Cell Physiol	3	140
6512864	1984-10-01	Journal Article	J Mol Cell Cardiol	3	207
6539514	1984-04-15	Journal Article	Thromb Res	2	183
6603882	1983-10-01	Journal Article	Blood	7	143
6628005	1983-11-01	Other	Chest	9	167
6703043	1984-03-01	Other	Am J Physiol	3	174
6738318	1984-06-01	Journal Article	Lipids	5	226
6744901	1984-06-01	Journal Article	Cortex	1	56
6747410	1984-06-01	Case Reports	J Hand Surg Br	2	38
6769036	1980-02-01	Journal Article	Mutat Res	3	84
6802131	1981-12-01	Journal Article	Biochem Genet	1	133
6821840	1983-02-15	Other	Cancer	5	147
6856003	1983-01-01	Journal Article	Neurobehav Toxicol Teratol	2	169
6858733	1983-01-01	Journal Article	Acta Neurochir (Wien)	3	126
6865919	1983-07-01	Journal Article	Mol Pharmacol	4	237
7008090	1980-10-01	Other	Prostaglandins	3	244
7010131	1981-01-01	Journal Article	Mutat Res	2	182
7018561	1981-05-01	Case Reports	Br J Ophthalmol	3	181
7029296	1981-04-01	Clinical Trial	Natl Cancer Inst Monogr	8	88
7053082	1980-09-25	Journal Article	J Biol Chem	4	46
7058280	1982-01-01	Journal Article	Recent Results Cancer Res	2	95
7077210	1982-04-01	Other	J Med Syst	3	115
7303002	1981-04-01	Journal Article	Tokai J Exp Clin Med	6	109
7435822	1980-11-01	Journal Article	Am J Surg	8	91
7511473	1993-01-01	Case Reports	Support Care Cancer	2	94
7518351	1994-08-01	Journal Article	Cancer Res	5	225
7568336	1995-06-01	Journal Article	Pharmacology	3	106
7580834	1995-05-01	Clinical Trial	Cell Mol Biol (Noisy-le-grand)	10	196
7615977	1995-07-01	Journal Article	J Invest Dermatol	10	240
7648196	1995-05-01	Journal Article	Bioorg Med Chem	2	154
7662450	1995-07-01	Journal Article	Br Heart J	3	273
7726317	1995-05-01	Clinical Trial	Am J Psychiatry	7	196
7729612	1995-05-01	Clinical Trial	Diabetes	8	245
7733888	1995-04-15	Journal Article	Biochem J	2	221
7756657	1995-06-01	Journal Article	Blood	6	216
7766966	1994-12-01	Journal Article	Acta Paediatr Suppl	9	126
7773518	1995-05-01	Journal Article	J Nurs Manag	2	88
7804327	1994-01-01	Journal Article	Cell Mol Biol Res	2	146
7890663	1995-03-10	Journal Article	J Biol Chem	9	279
7936717	1994-06-01	Other	Oral Microbiol Immunol	4	239
8066160	1994-01-01	Journal Article	Psychother Psychosom	3	135
8079912	1994-09-15	Journal Article	Am Fam Physician	1	74
8103801	1993-08-01	Other	J Prosthet Dent	3	101
8136933	1994-01-01	Journal Article	Coron Artery Dis	9	247
8142629	1993-09-01	Journal Article	Chin Med Sci J	4	71
8163477	1994-04-22	Journal Article	J Biol Chem	2	157
8236622	1993-09-01	Journal Article	Vet Clin North Am Small Anim Pract	1	39
8240786	1993-09-01	Journal Article	APMIS	3	204
8289128	1993-11-01	Journal Article	J Pharm Sci	1	178
8318575	1993-04-01	Other	Eur J Clin Chem Clin Biochem	1	92
8386421	1993-02-01	Clinical Trial	Acta Ophthalmol (Copenh)	9	156
8497820	1993-03-01	Clinical Trial	Thorax	5	286
8511797	1993-06-01	Journal Article	Toxicol Appl Pharmacol	7	282
8548137	1995-12-01	Journal Article	Eur J Cancer Care (Engl)	1	150
8590479	1995-09-01	Journal Article	Curr Genet	6	368
8612101	1996-03-01	Journal Article	J Gerontol A Biol Sci Med Sci	2	265
8613193	1996-03-01	Journal Article	Hypertension	9	265
8614419	1996-05-23	Clinical Trial	N Engl J Med	7	309
8619670	1996-03-01	Case Reports	Ann Thorac Surg	4	76
8626585	1996-04-26	Other	J Biol Chem	5	212
8633214	1996-05-01	Journal Article	Scand J Immunol	2	101
8662426	1996-07-01	Journal Article	Surg Endosc	4	197
8665270	1995-01-01	Journal Article	Brain Res Bull	5	132
8690243	1995-11-01	Journal Article	Gen Pharmacol	2	104
8726929	1996-04-01	Other	Eur Respir J	5	215
8731228	1996-04-15	Journal Article	J Comp Neurol	3	236
8777250	1996-01-01	Other	Biol Neonate	3	175
8791948	1996-06-01	Clinical Trial	Aliment Pharmacol Ther	6	248
8839260	1995-01-01	Journal Article	Exp Clin Endocrinol Diabetes	2	257
8848342	1996-04-01	Journal Article	Pediatr Res	4	218
8870324	1996-07-01	Journal Article	Zhonghua Yi Xue Za Zhi (Taipei)	7	280
8883161	1996-09-01	Case Reports	Semin Pediatr Neurol	1	72
8894240	1996-10-01	Other	Can Fam Physician	4	150
8912856	1996-11-15	Journal Article	Cancer Res	4	249
8935629	1996-03-01	Case Reports	J Dermatol	2	94
8938092	1996-09-01	Journal Article	Midwifery	2	195
8985623	1996-12-01	Clinical Trial	Clin Auton Res	5	249
8995950	1997-01-01	Journal Article	Am J Gastroenterol	5	265
9119062	1997-03-10	Journal Article	FEBS Lett	13	152
9171209	1997-05-01	Case Reports	J Anal Toxicol	4	61
9192596	1996-11-01	Journal Article	Best Pract Benchmarking Healthc	3	276
9195138	1997-06-01	Journal Article	Disabil Rehabil	3	150
9220314	1997-07-01	Journal Article	J Immunother	9	337
9276880	1997-09-01	Journal Article	Poult Sci	6	288
9375069	1996-01-01	Journal Article	J Telemed Telecare	6	242
9408886	1997-12-31	Journal Article	J Soc Gynecol Investig	5	330
9428793	1998-01-15	Journal Article	DNA Cell Biol	4	288
9445267	1998-01-28	Journal Article	Arterioscler Thromb Vasc Biol	8	278
9456611	1996-01-01	Case Reports	Int J Adult Orthodon Orthognath Surg	4	87
9513056	1998-03-26	Journal Article	J Dairy Res	3	212
9520387	1998-05-09	Journal Article	Proc Natl Acad Sci USA	11	109
9553195	1998-06-13	Case Reports	Pediatr Surg Int	4	85
9563155	1998-05-01	Case Reports	Urol Int	3	64
9679596	1998-07-29	Journal Article	J Am Soc Mass Spectrom	3	315
9827669	1998-11-25	Journal Article	J Biomed Mater Res	10	238
9840840	1998-12-05	Journal Article	Magn Reson Med	3	79
9868550	1998-12-30	Journal Article	Arch Pharm Res	6	47
9917971	1999-01-26	Journal Article	Clin Plast Surg	3	64
9927203	1999-02-02	Journal Article	Oncogene	7	247
10105447	1990-06-08	Journal Article	Comput Healthc	1	49
10190644	1999-04-06	Journal Article	Soc Sci Med	5	146
10193513	1999-04-08	Journal Article	MP, Mol Pathol	4	282
10194031	1999-04-08	Case Reports	J Hand Surg Am	5	37
10200243	1999-04-14	Journal Article	Proc Natl Acad Sci USA	1	46
10205269	1999-04-17	Journal Article	Am J Hum Genet	21	189
10217648	1999-04-27	Journal Article	Circulation	3	258
10235373	1999-05-11	Case Reports	J Oral Pathol Med	4	89
10353745	1999-06-03	Other	Clin Cancer Res	12	155
10387653	1999-07-01	Journal Article	Top Health Inf Manage	2	138
10424175	1999-07-29	Journal Article	Anal Chem	2	197
10435672	1999-08-06	Journal Article	Semin Nephrol	2	116
10461262	1999-08-26	Journal Article	J Otolaryngol	5	162
10571205	1999-11-26	Journal Article	Int J Radiat Oncol Biol Phys	6	270
10589365	1999-12-10	Journal Article	Clin Exp Rheumatol	2	338
10797293	2000-05-08	Journal Article	Int J Cancer	5	253
10816435	2000-05-19	Journal Article	Biochem J	5	297
10849155	2000-06-10	Journal Article	J Adv Nurs	2	214
10856624	2000-06-17	Other	Ultrasound Med Biol	5	155
10908045	2000-07-25	Other	J Cereb Blood Flow Metab	10	300
10967395	2000-09-01	Journal Article	Aquat Toxicol	2	238
10996987	2000-09-21	Journal Article	J Trop Pediatr	1	156
11020403	2000-10-06	Clinical Trial	Am J Ophthalmol	4	252
11054794	2000-10-31	Other	Int J Eat Disord	2	215
11087687	2000-11-23	Journal Article	Protein Expr Purif	6	266
11098043	2000-12-01	Journal Article	Hum Reprod	5	135
11144976	2001-01-06	Journal Article	Cell Transplant	9	133
11192321	2001-02-24	Clinical Trial	Eur J Gastroenterol Hepatol	5	196
11205014	2001-02-24	Journal Article	Chemistry	6	137
11208127	2001-02-24	Journal Article	Traffic	5	175
11317897	2001-04-25	Journal Article	Water Res	3	299
11340878	2001-05-09	Journal Article	J Biomech Eng	2	201
11368309	2001-05-23	Other	Arch Biochem Biophys	3	249
11374545	2001-05-26	Other	J Anim Sci	4	158
11378681	2001-05-30	Other	ALTEX	10	335
11384069	2001-06-01	Journal Article	Phys Med Biol	4	245
11397335	2001-06-09	Journal Article	AIDS Care	4	74
11398143	2001-06-09	Journal Article	Metab Clin Exp	3	300
11408409	2001-06-16	Journal Article	J Appl Physiol	4	224
11516337	2001-08-23	Journal Article	Genome Biol	2	249
11530222	2001-09-01	Journal Article	Neuroscience	2	213
11564343	2001-09-21	Journal Article	Proc Biol Sci	3	179
11574195	2001-09-28	Journal Article	Int J Antimicrob Agents	3	35
11584755	2001-10-05	Clinical Trial	Parasite	3	260
11642597	2001-10-20	Journal Article	Crit Rev Immunol	3	480
11716001	2001-11-22	Journal Article	Int Urogynecol J Pelvic Floor Dysfunct	5	245
11725852	2001-12-01	Case Reports	Cranio	5	147
11846794	2002-02-16	Journal Article	Eur J Biochem	3	245
11969456	2002-04-24	Journal Article	Phys Rev E Stat Phys Plasmas Fluids Relat Interdiscip Topics	1	94
12003775	2002-05-11	Journal Article	Am J Physiol Lung Cell Mol Physiol	9	221
12009565	2002-05-16	Journal Article	Mol Immunol	2	63
12020659	2002-05-22	Other	Comp Biochem Physiol, Part A Mol Integr Physiol	3	161
12093111	2002-07-03	Journal Article	Gen Comp Endocrinol	1	234
12170364	2002-08-10	Other	Pediatr Cardiol	2	165
12171885	2002-08-13	Journal Article	Clin Cancer Res	9	251
12197721	2002-08-29	Journal Article	J Am Chem Soc	3	130
12227393	2002-09-14	Journal Article	Perit Dial Int	4	259
12269476	2002-09-25	Journal Article	Mar Pollut Bull	2	184
12270947	2002-09-25	Journal Article	Physiol Rev	2	186
12297360	2002-09-26	Journal Article	Int J Antimicrob Agents	6	228
12354969	1990-09-01	Journal Article	Plant Cell	3	116
12366028	2002-10-09	Journal Article	Phys Rev Lett	2	99
12368853	2002-10-09	Journal Article	Nature	5	140
12383723	2002-10-18	Journal Article	Regul Toxicol Pharmacol	3	201
12390101	2002-10-23	Journal Article	Aliment Pharmacol Ther	6	203
12413498	2002-11-05	Journal Article	Eur J Heart Fail	3	81
12440883	2002-11-21	Journal Article	J Am Chem Soc	5	59
12489718	2002-12-20	Journal Article	Chemosphere	10	170
12578380	2003-02-13	Other	Biochemistry	6	194
12616463	2003-03-05	Journal Article	Adv Ren Replace Ther	1	238
12617111	2003-03-06	Journal Article	Vox Sang	1	288
12648726	2003-03-22	Journal Article	Res Microbiol	2	237
12651208	2003-03-26	Journal Article	Eur J Cancer	2	192
12684547	2003-04-10	Journal Article	Intervirology	5	227
12696433	2003-04-17	Journal Article	Meded Rijksuniv Gent Fak Landbouwkd Toegep Biol Wet	7	158
12710983	2003-04-25	Journal Article	Neuroscience	3	163
12714818	2003-04-26	Journal Article	Chemotherapy	4	166
12720044	2003-04-30	Case Reports	Rheumatol Int	4	122
12750175	2003-05-17	Journal Article	Blood	14	270
12761258	2003-05-23	Clinical Trial	J Am Soc Nephrol	5	264
12787200	2003-06-06	Journal Article	J Clin Periodontol	1	175
12807278	2003-06-17	Journal Article	Commun Dis Intell Q Rep	1	188
12871750	2003-07-23	Journal Article	Eur J Pharmacol	5	132
12876204	2003-07-24	Journal Article	J Mol Diagn	2	161
12890748	2003-08-02	Journal Article	MP, Mol Pathol	2	203
12898570	2003-08-05	Journal Article	Am J Med Genet B Neuropsychiatr Genet	15	262
14304236	1965-05-01	Journal Article	J Clin Pathol	1	188
14505877	2003-09-25	Journal Article	Carbohydr Res	3	46
14532002	2003-10-09	Journal Article	Cell	6	120
14584676	2003-10-31	Journal Article	J Chem Ecol	3	136
14615196	2003-11-15	Other	Mol Phylogenet Evol	3	179
14617008	2003-11-18	Journal Article	Br J Haematol	5	103
14660714	2003-12-09	Clinical Trial	J Nucl Med	3	414
14673708	2003-12-16	Journal Article	J Mol Model	3	118
14675861	2003-12-17	Case Reports	Eur J Heart Fail	11	139
14694172	2003-12-25	Journal Article	J Am Soc Nephrol	5	262
14706953	2004-01-07	Journal Article	Arch Pediatr Adolesc Med	3	315
14725135	2004-01-17	Clinical Trial	Rev Laryngol Otol Rhinol (Bord)	4	231
14963712	2004-02-14	Journal Article	Int Arch Occup Environ Health	4	138
14980921	2004-02-26	Clinical Trial	Anesth Analg	5	323
14994935	2004-03-05	Journal Article	Infect Control Hosp Epidemiol	5	253
15039071	2004-03-25	Journal Article	Protein Expr Purif	10	240
15049965	2004-03-31	Journal Article	Clin Endocrinol (Oxf)	5	310
15066688	2004-04-07	Journal Article	J Clin Epidemiol	4	160
15086010	2004-04-17	Case Reports	Ear Nose Throat J	3	56
15113461	2004-04-29	Clinical Trial	Neurosurgery	5	251
15185229	2004-06-09	Other	J Pediatr Surg	6	133
15223638	2004-06-30	Journal Article	Leuk Lymphoma	3	324
15305248	2004-08-12	Clinical Trial	Reg Anesth Pain Med	4	189
15474753	2004-10-12	Journal Article	Maturitas	8	215
15485491	2004-10-16	Other	J Neurochem	8	230
15486478	2004-10-16	Other	Neuroreport	3	116
15491322	2004-10-20	Journal Article	J Cutan Pathol	5	255
15491365	2004-10-20	Journal Article	Mol Microbiol	4	205
15507114	2004-10-28	Journal Article	Genes Cells	6	202
15524565	2004-11-05	Journal Article	Phys Rev E Stat Nonlin Soft Matter Phys	3	90
15553642	2004-11-24	Other	J Food Prot	2	234
15579330	2004-12-08	Journal Article	Steroids	3	80
15579929	2004-12-08	Journal Article	Work	1	90
15603869	2004-12-18	Journal Article	Hum Immunol	8	169
15627735	2005-01-04	Journal Article	Blood Purif	3	253
15630650	2005-01-05	Case Reports	Eur J Pediatr Surg	4	184
15643534	2005-01-12	Clinical Trial	Int J Sports Med	2	242
15675035	2005-01-29	Journal Article	Christ Bioeth	1	128
15684280	2005-02-03	Clinical Trial	Eur Heart J	6	213
15716347	2005-02-18	Journal Article	Development	8	212
15733849	2005-03-01	Journal Article	FEBS Lett	6	230
15733908	2005-03-01	Journal Article	J Mol Cell Cardiol	6	266
15777542	2005-03-22	Other	Atherosclerosis	2	240
15778065	2005-03-22	Other	Int J Pharm	3	171
15791837	2005-03-29	Journal Article	J Huazhong Univ Sci Technol Med Sci	3	146
15794680	2005-03-30	Case Reports	Arch Pathol Lab Med	3	183
15802797	2005-04-02	Journal Article	Biol Pharm Bull	4	159
15831082	2005-04-16	Journal Article	J Environ Pathol Toxicol Oncol	7	263
15840519	2005-04-21	Journal Article	Virology	4	291
15895100	2005-05-17	Other	Nat Mater	5	167
15966961	2005-06-22	Journal Article	J Intellect Disabil Res	3	211
15969919	2005-06-23	Other	Neural Comput	2	103
16012862	2005-07-14	Journal Article	Eur Arch Otorhinolaryngol	8	256
16047739	2005-07-29	Journal Article	Acta Virol	2	228
16094831	2005-08-13	Other	Avian Dis	8	342
16094978	1975-01-01	Journal Article	Mol Gen Genet	2	183
16098703	2005-08-16	Other	Patient Educ Couns	5	193
16130195	2005-09-01	Journal Article	J Zhejiang Univ Sci B	5	248
16132749	2005-09-01	Journal Article	Int Urol Nephrol	2	203
16143380	2005-09-07	Journal Article	Dent Mater	4	233
16144632	2005-09-08	Other	Brain Res Bull	6	219
16161190	2005-09-15	Journal Article	Health Econ	2	192
16174626	2005-09-22	Journal Article	AIDS Care	4	124
16174836	2005-09-22	Journal Article	Am J Health Syst Pharm	6	274
16245511	2005-10-26	Case Reports	J Heart Valve Dis	3	98
16291533	2005-11-18	Journal Article	Cogn Behav Ther	2	101
16397887	2006-01-07	Other	Birth Defects Res Part A Clin Mol Teratol	5	282
16442717	2006-01-31	Journal Article	J Hazard Mater	4	239
16450198	2006-02-02	Journal Article	Ann Biomed Eng	2	131
16466623	2006-02-10	Journal Article	Clin Exp Rheumatol	12	142
16472842	2006-02-14	Journal Article	Thromb Res	6	216
16484778	2006-02-18	Journal Article	Cytogenet Genome Res	5	172
16517501	2006-03-07	Journal Article	Free Radic Res	10	145
16568411	2006-03-29	Journal Article	Dev Psychobiol	5	371
16600987	2006-04-08	Journal Article	Hum Mol Genet	9	252
16615745	2006-04-18	Journal Article	Lang Speech Hear Serv Sch	4	181
16640837	2006-04-28	Other	J Pharm Pharmacol	4	228
16641577	2006-04-28	Journal Article	J Pediatr Gastroenterol Nutr	6	319
16719985	2006-05-25	Journal Article	Br J Clin Psychol	4	127
16729739	2006-05-30	Journal Article	Orthopedics	4	17
16802006	2006-06-28	Other	J Gastrointestin Liver Dis	6	317
16843446	2006-07-18	Journal Article	Brain Res	8	112
16853408	2006-07-21	Other	J Phys Chem B	6	74
16870886	2006-07-28	Journal Article	Mol Pharmacol	6	236
16871295	2006-07-28	Journal Article	Pain Physician	4	278
16895481	2006-08-10	Journal Article	Biol Chem	8	235
16896182	2006-08-10	Journal Article	Am J Physiol Renal Physiol	6	241
16901989	2006-08-12	Journal Article	Am J Physiol Gastrointest Liver Physiol	9	197
16961593	2006-09-12	Journal Article	Dev Growth Differ	3	177
16998177	2006-09-26	Journal Article	Tob Control	13	255
17010574	2006-10-03	Journal Article	Schizophr Res	14	106
17018805	2006-10-05	Journal Article	JAMA	3	361
17019371	2006-10-05	Journal Article	J Acquir Immune Defic Syndr	5	218
17021146	2006-10-06	Journal Article	Acad Psychiatry	3	88
17022939	2006-10-07	Journal Article	Biochem Biophys Res Commun	2	131
17103465	2006-11-15	Journal Article	Chemistry	3	139
17127483	2006-11-28	Journal Article	Platelets	7	221
17128898	2006-11-30	Journal Article	Medsurg Nurs	1	78
17160088	2006-12-13	Journal Article	Int J Obes (Lond)	7	277
17168775	2006-12-16	Journal Article	Curr Pharm Des	4	191
17173909	2006-12-19	Journal Article	Gastrointest Endosc	7	303
17187837	2006-12-26	Journal Article	Steroids	2	244
17266755	2007-02-03	Case Reports	BMC Gastroenterol	3	193
17295937	2007-02-14	Journal Article	J Laryngol Otol	3	239
17321540	2007-02-27	Journal Article	J Exp Child Psychol	1	113
17355126	2007-03-16	Journal Article	Biochemistry	4	191
17367500	2007-03-21	Journal Article	J Cell Mol Med	2	165
17375266	2007-03-22	Journal Article	Mol Cell Biochem	7	173
17391837	2007-03-30	Journal Article	J Environ Manage	1	203
17397867	2007-04-03	Journal Article	J Mol Biol	5	186
17416672	2007-04-10	Other	Proc Natl Acad Sci USA	5	190
17438703	2007-04-19	Journal Article	Acta Oncol	7	214
17442881	2007-04-20	Journal Article	Surg Innov	7	104
17501251	2007-05-16	Journal Article	Phys Rev Lett	3	131
17507093	2007-05-18	Other	Plasmid	2	167
17537389	2007-06-01	Journal Article	Autoimmun Rev	4	118
17541602	2007-06-02	Journal Article	J Comp Physiol B, Biochem Syst Environ Physiol	4	209
17666011	2007-08-02	Journal Article	Biochem J	5	210
17668091	2007-08-02	Journal Article	Chem Commun (Camb)	8	27
17792546	1974-04-19	Journal Article	Science	6	62
17819000	1961-06-09	Journal Article	Science	1	39
17932459	2007-10-13	Journal Article	Autophagy	2	227
17958891	2007-10-26	Journal Article	Orphanet J Rare Dis	2	316
17978847	2007-11-06	Journal Article	J Membr Biol	6	197
18022423	2007-11-21	Case Reports	J Pediatr Surg	2	85
18050143	2007-12-06	Journal Article	J Nephrol	2	258
18055529	2007-12-07	Journal Article	Biophys J	5	239
18056039	2007-12-07	Journal Article	Ann N Y Acad Sci	7	222
18057749	2007-12-07	Journal Article	Chem Pharm Bull	4	154
18068430	2007-12-11	Journal Article	Eur J Heart Fail	4	177
18077686	2007-12-14	Journal Article	J Neurosci	5	141
18090864	2007-12-20	Journal Article	Laryngoscope	5	322
18097321	2007-12-22	Case Reports	Surg Laparosc Endosc Percutan Tech	8	55
18222853	1991-01-01	Journal Article	IEEE Trans Med Imaging	5	140
18284639	2008-02-21	Journal Article	Clin Endocrinol (Oxf)	4	265
18291125	2008-02-23	Journal Article	Anal Chim Acta	2	230
18295203	2008-02-26	Journal Article	Exp Cell Res	7	196
18390959	2008-04-09	Journal Article	Pediatrics	7	272
18392682	2008-04-09	Journal Article	Apoptosis	5	227
18407590	2008-04-15	Journal Article	World J Gastroenterol	4	166
18427386	2008-04-23	Journal Article	Panminerva Med	2	237
18474288	2008-06-14	Journal Article	Gynecol Oncol	1	203
18488584	2008-05-21	Journal Article	Urol Nurs	2	52
18518494	2008-06-04	Journal Article	Phys Rev Lett	2	99
18580311	2008-06-27	Journal Article	Int J Gynecol Pathol	3	185
18583921	2008-06-28	Journal Article	Pharmacology	6	241
18690694	2008-08-12	Journal Article	J Agric Food Chem	3	292
18704317	2008-08-16	Journal Article	J Huazhong Univ Sci Technol Med Sci	5	157
18764054	2008-09-04	Journal Article	Phys Rev E Stat Nonlin Soft Matter Phys	4	154
18812649	2008-09-25	Other	Phys Med Biol	3	191
18825193	2008-10-01	Journal Article	Opt Express	4	96
18830770	2008-10-03	Other	J Gen Intern Med	10	261
18832072	2008-10-04	Journal Article	Genes Dev	8	216
18842065	2008-10-10	Journal Article	PLoS Med	36	432
